database,table,columns
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202304,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202305,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202306,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202307,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202308,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202309,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202310,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202311,164
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202312,164
BACKUP_2023_VOZ,LYT_TIPIFICACIONES_MES_202301_202312,79
BACKUP_2024_CCEE,LYT_INTERACCIONES_202401,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202402,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202403,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202404,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202405,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202406,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202407,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202408,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202409,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202410,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202411,144
BACKUP_2024_CCEE,LYT_INTERACCIONES_202412,144
BACKUP_2024_CCEE,LYT_SESIONES_202401,114
BACKUP_2024_CCEE,LYT_SESIONES_202402,114
BACKUP_2024_CCEE,LYT_SESIONES_202403,114
BACKUP_2024_CCEE,LYT_SESIONES_202404,114
BACKUP_2024_CCEE,LYT_SESIONES_202405,114
BACKUP_2024_CCEE,LYT_SESIONES_202406,114
BACKUP_2024_CCEE,LYT_SESIONES_202407,116
BACKUP_2024_CCEE,LYT_SESIONES_202408,116
BACKUP_2024_CCEE,LYT_SESIONES_202409,116
BACKUP_2024_CCEE,LYT_SESIONES_202410,116
BACKUP_2024_CCEE,LYT_SESIONES_202411,116
BACKUP_2024_CCEE,LYT_SESIONES_202412,116
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202401,199
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202402,199
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202403,199
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202404,199
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202405,202
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202406,205
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202407,214
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202408,214
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202409,214
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202410,214
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202411,214
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202412,214
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202401,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202402,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202403,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202404,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202405,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202406,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202407,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202408,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202409,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202410,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202411,164
BACKUP_2024_VOZ,LYT_CONTACT_CENTER_ENTRANTES_202412,164
BACKUP_2024_VOZ,LYT_TIPIFICACIONES_MES_2024,84
BACKUP_FACO,LYT_FACO_2023,21
BACKUP_FACO,LYT_FACO_2024,21
BACKUP_FACO,LYT_FACO_SUBSCRIBER_2023,6
BACKUP_PLANTA,PLANTA_CMS_202412,94
BACKUP_PLANTA,PLANTA_CMS_202501,94
BACKUP_PLANTA,PLANTA_CMS_202502,94
BACKUP_PLANTA,PLANTA_CMS_202503,94
BACKUP_PLANTA,PLANTA_CMS_202504,94
BACKUP_PLANTA,PLANTA_CMS_202505,94
BACKUP_PLANTA,PLANTA_CMS_202506,94
BACKUP_PLANTA,PLANTA_CMS_202507,94
BACKUP_PLANTA,PLANTA_CMS_202508,94
BACKUP_PLANTA,PLANTA_CMS_202509,94
BACKUP_PLANTA,PLANTA_CMS_202510,94
BACKUP_PLANTA,PLANTA_CMS_202511,94
BACKUP_PLANTA,PLANTA_FIJA_202101,59
BACKUP_PLANTA,PLANTA_FIJA_202102,59
BACKUP_PLANTA,PLANTA_FIJA_202103,59
BACKUP_PLANTA,PLANTA_FIJA_202104,59
BACKUP_PLANTA,PLANTA_FIJA_202105,59
BACKUP_PLANTA,PLANTA_FIJA_202106,59
BACKUP_PLANTA,PLANTA_FIJA_202107,59
BACKUP_PLANTA,PLANTA_FIJA_202108,59
BACKUP_PLANTA,PLANTA_FIJA_202109,59
BACKUP_PLANTA,PLANTA_FIJA_202110,59
BACKUP_PLANTA,PLANTA_FIJA_202111,59
BACKUP_PLANTA,PLANTA_FIJA_202112,67
BACKUP_PLANTA,PLANTA_FIJA_202301,92
BACKUP_PLANTA,PLANTA_FIJA_202302,92
BACKUP_PLANTA,PLANTA_FIJA_202303,92
BACKUP_PLANTA,PLANTA_FIJA_202304,92
BACKUP_PLANTA,PLANTA_FIJA_202305,92
BACKUP_PLANTA,PLANTA_FIJA_202306,92
BACKUP_PLANTA,PLANTA_FIJA_202307,92
BACKUP_PLANTA,PLANTA_FIJA_202308,92
BACKUP_PLANTA,PLANTA_FIJA_202309,92
BACKUP_PLANTA,PLANTA_FIJA_202310,92
BACKUP_PLANTA,PLANTA_FIJA_202311,92
BACKUP_PLANTA,PLANTA_FIJA_202312,92
BACKUP_PLANTA,PLANTA_FIJA_202401,68
BACKUP_PLANTA,PLANTA_FIJA_202402,68
BACKUP_PLANTA,PLANTA_FIJA_202403,68
BACKUP_PLANTA,PLANTA_FIJA_202404,68
BACKUP_PLANTA,PLANTA_FIJA_202405,68
BACKUP_PLANTA,PLANTA_FIJA_202406,68
BACKUP_PLANTA,PLANTA_FIJA_202407,68
BACKUP_PLANTA,PLANTA_FIJA_202408,68
BACKUP_PLANTA,PLANTA_FIJA_202409,68
BACKUP_PLANTA,PLANTA_FIJA_202410,68
BACKUP_PLANTA,PLANTA_FIJA_202411,68
BACKUP_PLANTA,PLANTA_FIJA_202412,232
BACKUP_PLANTA,PLANTA_MOVIL_202101,50
BACKUP_PLANTA,PLANTA_MOVIL_202102,50
BACKUP_PLANTA,PLANTA_MOVIL_202103,50
BACKUP_PLANTA,PLANTA_MOVIL_202104,50
BACKUP_PLANTA,PLANTA_MOVIL_202105,50
BACKUP_PLANTA,PLANTA_MOVIL_202106,50
BACKUP_PLANTA,PLANTA_MOVIL_202107,50
BACKUP_PLANTA,PLANTA_MOVIL_202108,50
BACKUP_PLANTA,PLANTA_MOVIL_202109,50
BACKUP_PLANTA,PLANTA_MOVIL_202110,50
BACKUP_PLANTA,PLANTA_MOVIL_202111,50
BACKUP_PLANTA,PLANTA_MOVIL_202112,50
BACKUP_PLANTA,PLANTA_MOVIL_202301,50
BACKUP_PLANTA,PLANTA_MOVIL_202302,50
BACKUP_PLANTA,PLANTA_MOVIL_202303,50
BACKUP_PLANTA,PLANTA_MOVIL_202304,50
BACKUP_PLANTA,PLANTA_MOVIL_202305,50
BACKUP_PLANTA,PLANTA_MOVIL_202306,50
BACKUP_PLANTA,PLANTA_MOVIL_202307,50
BACKUP_PLANTA,PLANTA_MOVIL_202308,50
BACKUP_PLANTA,PLANTA_MOVIL_202309,50
BACKUP_PLANTA,PLANTA_MOVIL_202310,50
BACKUP_PLANTA,PLANTA_MOVIL_202311,50
BACKUP_PLANTA,PLANTA_MOVIL_202312,50
BACKUP_PLANTA,PLANTA_MOVIL_202401,50
BACKUP_PLANTA,PLANTA_MOVIL_202402,50
BACKUP_PLANTA,PLANTA_MOVIL_202403,50
BACKUP_PLANTA,PLANTA_MOVIL_202404,50
BACKUP_PLANTA,PLANTA_MOVIL_202405,50
BACKUP_PLANTA,PLANTA_MOVIL_202406,50
BACKUP_PLANTA,PLANTA_MOVIL_202407,50
BACKUP_PLANTA,PLANTA_MOVIL_202408,50
BACKUP_PLANTA,PLANTA_MOVIL_202409,50
BACKUP_PLANTA,PLANTA_MOVIL_202410,50
BACKUP_PLANTA,PLANTA_MOVIL_202411,50
BACKUP_PLANTA,PLANTA_MOVIL_202412,50
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202301,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202302,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202303,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202304,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202305,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202306,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202307,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202308,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202309,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202310,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202311,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202312,29
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202401,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202402,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202403,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202404,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202405,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202406,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202407,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202408,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202409,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202410,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202411,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_202412,9
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_BI_202408,37
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_BI_202409,37
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_BI_202410,37
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_BI_202411,37
BACKUP_PLANTA,PLANTA_MOVISTAR_TOTAL_BI_202412,37
BACKUP_PLANTA,Planta_Movistar_Total_202101,29
BACKUP_PLANTA,Planta_Movistar_Total_202102,29
CONTROL,TP_CALIDAD_CRUCES,4
CONTROL,T_ADMIN_BASE_DATOS,14
CONTROL,T_ADMIN_BASE_DATOS_ANTERIOR,14
CONTROL,T_ADMIN_DISCO_DURO,7
CONTROL,T_ADMIN_DISCO_DURO_ANTERIOR,7
CONTROL,T_ADMIN_TAMANIO_TABLAS,12
CONTROL,T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
CONTROL,T_WHO2_CAPTURA,14
REGULADOS,20230307_VALIDAR_REGULADOS_OSIPTEL_NO_AURA_202204,64
REGULADOS,20230307_VALIDAR_REGULADOS_OSIPTEL_NO_AURA_202208,65
REGULADOS,BD_ENCUESTAS_FACO_ABR24_ABR25,69
REGULADOS,Base_Q_Alarmas_202501,6
REGULADOS,Base_Q_Alarmas_202503,6
REGULADOS,CANAL_MARCACION,4
REGULADOS,CATALOGO_VISOR_TIPIS,13
REGULADOS,Catalogo_Motivos_Tipificador_Visor_Ranking_OSIPTEL_v2,5
REGULADOS,GMC_CATALAGO_OSIPTEL_202401,5
REGULADOS,GMC_CATALOGO_V2,5
REGULADOS,JSH_BASE_TIPIFICACIONES_VISOR_RANKING_OSIPTEL_2023_07_08_09,17
REGULADOS,JSH_BASE_TIPIFICACIONES_VISOR_RANKING_OSIPTEL_2023_10_11_12,17
REGULADOS,JSH_Base_Disponibilidad_01_06_enero,8
REGULADOS,JSH_Base_Disponibilidad_01_20_marzo,8
REGULADOS,JSH_Base_Disponibilidad_03_09_febrero,8
REGULADOS,JSH_Base_Disponibilidad_03_09_marzo,8
REGULADOS,JSH_Base_Disponibilidad_07a14enero,8
REGULADOS,JSH_Base_Disponibilidad_10_17_marzo,8
REGULADOS,JSH_Base_Disponibilidad_10_18_febrero,8
REGULADOS,JSH_Base_Disponibilidad_15_19_enero,8
REGULADOS,JSH_Base_Disponibilidad_19_23_febrero,8
REGULADOS,JSH_Base_Disponibilidad_202507,8
REGULADOS,JSH_Base_Disponibilidad_20_26_enero,8
REGULADOS,JSH_Base_Disponibilidad_21_31_marzo,8
REGULADOS,JSH_Base_Disponibilidad_24_28_febrero,8
REGULADOS,JSH_Base_Disponibilidad_27_enero_al_02_febrero,8
REGULADOS,JSH_Base_Disponibilidad_abril_21_25,8
REGULADOS,JSH_Base_Disponibilidad_abril_26_30,8
REGULADOS,JSH_Base_Disponibilidad_junio_01_04,8
