database,table,columns
CONTROL,T_ADMIN_BASE_DATOS_ANTERIOR,14
CONTROL,T_ADMIN_DISCO_DURO,7
CONTROL,T_ADMIN_DISCO_DURO_ANTERIOR,7
CONTROL,T_ADMIN_TAMANIO_TABLAS,12
CONTROL,T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
CONTROL,T_LOG_PROCESOS,4
CONTROL,T_WHO2_CAPTURA,14
DEFAULT_DB,CONTROL_PROCESOS,4
DEFAULT_DB,CORREOS,8
DEFAULT_DB,DEMANDA_BOLSA,14
DEFAULT_DB,DEMANDA_BOLSA_CR_ADHOC,14
DEFAULT_DB,DEMANDA_BOLSA_FUENTES,7
DEFAULT_DB,DEMANDA_BOLSA_FUENTES_AGRUPADO,5
DEFAULT_DB,DEMANDA_BOLSA_FUENTES_AGRUPADO_TOTAL,3
DEFAULT_DB,DEMANDA_BOLSA_FUENTES_CR_ADHOC,7
DEFAULT_DB,DEMANDA_BOLSA_FUENTES_INCREMENTO,7
DEFAULT_DB,DEMANDA_BOLSA_FUENTES_PRIORIDAD,4
DEFAULT_DB,DEMANDA_BOLSA_HISTORICO,14
DEFAULT_DB,DEMANDA_BOLSA_PRIORIDAD,2
DEFAULT_DB,DEMANDA_BOLSA_RESUMEN_PRIORIDAD_HORA,11
DEFAULT_DB,DEMANDA_BOLSA_RESUMEN_PRIORIDAD_HORA_ENTRANTES,15
DEFAULT_DB,FIJA_2022_BASE_CX_RX_DEUDA_AMDOCS,24
DEFAULT_DB,FIJA_2022_BASE_CX_RX_DEUDA_AMDOCS_bak,24
DEFAULT_DB,FORMATO_MENSAJERIA_FIJA,9
DEFAULT_DB,FORMATO_MENSAJERIA_FIJA_FECHA_ARCHIVO,2
DEFAULT_DB,FORMATO_MENSAJERIA_FIJA_NOCHE,9
DEFAULT_DB,FORMATO_MENSAJERIA_MOVIL,7
DEFAULT_DB,FORMATO_MENSAJERIA_MOVIL_FECHA_ARCHIVO,2
DEFAULT_DB,FORMATO_MENSAJERIA_MOVIL_NOCHE,7
DEFAULT_DB,MENSAJERIA,5
DEFAULT_DB,MENSAJERIA_ANALISIS,6
DEFAULT_DB,MENSAJERIA_FIJA_DETALLE,10
DEFAULT_DB,MENSAJERIA_FIJA_DETALLE_NOCHE,10
DEFAULT_DB,MENSAJERIA_FIJA_FECHA_BORRAR,2
DEFAULT_DB,MENSAJERIA_FIJA_FECHA_MAXIMA,2
DEFAULT_DB,MENSAJERIA_MOVIL_DETALLE,8
DEFAULT_DB,MENSAJERIA_MOVIL_DETALLE_NOCHE,8
DEFAULT_DB,MENSAJERIA_MOVIL_FECHA_BORRAR,2
DEFAULT_DB,MENSAJERIA_MOVIL_FECHA_MAXIMA,2
DEFAULT_DB,MENSAJERIA_RESUMEN_VARIACION,6
DEFAULT_DB,mensajeria_movil_detalle_prev,8
DEFAULT_DB,ACCESADAS_CDR_WAPP,15
DEFAULT_DB,ANALISIS_CLIENTES_UNICOS_DERIVADOS_A_BOT,12
DEFAULT_DB,ANALISIS_DMA,15
DEFAULT_DB,APP_CONLOGIN,27
DEFAULT_DB,APP_CONLOGIN_ACUMULADO,18
DEFAULT_DB,CATALOGO_MOVISTAR_TOTAL,8
DEFAULT_DB,CDR_WAPP_UNICOS,11
DEFAULT_DB,CONSOLIDADO_CANALES_ASISTIDOS,6
DEFAULT_DB,CONSOLIDADO_CANALES_DIGITALES,6
DEFAULT_DB,CONTROL_UUD,7
DEFAULT_DB,CU_CERRADOS_PRIMERA_LLAMADA_ANT,13
DEFAULT_DB,CU_DERIVADOS_A_BOT,14
DEFAULT_DB,DBI_ECARE_TMP_WP_CONSOLIDADO_LOGIN_UUD,6
DEFAULT_DB,DBI_ECARE_TMP_WP_CONSOLIDADO_LOGIN_UUD_202411,6
DEFAULT_DB,DBI_VAL_basetrasladodemanda,5
DEFAULT_DB,DBI_VAL_basetrasladodemanda_Acumulado,6
DEFAULT_DB,DMA_CONSOLIDADA,28
DEFAULT_DB,DMA_CONSOLIDADA_2023,28
DEFAULT_DB,DMA_CONSOLIDADA_2024,28
DEFAULT_DB,DMA_EDUCACION,14
DEFAULT_DB,DMA_EDUCACION_DETALLE,7
DEFAULT_DB,DMA_Motivo_DMA_CU_LN,5
DEFAULT_DB,DMA_OPCIONES,2
DEFAULT_DB,FARECO_BRAINYBILL_MES,13
DEFAULT_DB,FARECO_PAGOS_DIGITALES,21
DEFAULT_DB,HPU_DATOS_ECARE,17
DEFAULT_DB,JM_FunnelPhoenix_CAEQ,8
DEFAULT_DB,KAJ_FUENTE_ACCESADAS_DMA,20
DEFAULT_DB,KAJ_FUENTE_ENTRANTES_DMA,25
DEFAULT_DB,LLAMADAS_CRUCE_CDRWAPP_MES_SGTE,13
DEFAULT_DB,LLAMADAS_CRUCE_DMA_MES_SGTE,21
DEFAULT_DB,MaestraPlanes,6
DEFAULT_DB,Maestra_Canales_Digitales,15
DEFAULT_DB,MiMovistarFija_Stage,3
DEFAULT_DB,MiMovistarMes,48
DEFAULT_DB,MiMovistarMovil_Stage,4
