table,columns
RESUMEN_REIT_TRANS_VOZ_202101_202112,36
RESUMEN_TIPIFICACIONES_BASE_ENTRANTES_202101_202112,11
T_RESUMEN_AGENTES_TOTALES_2020_2021_2022,16
DRH_Averias_Registradas,330
DRH_Averias_Registradas_202201,330
DRH_Averias_Registradas_202202,330
DRH_Averias_Registradas_202203,330
DRH_Averias_Registradas_202204,330
DRH_Averias_Registradas_202205,330
DRH_Averias_Registradas_202206,330
DRH_Averias_Registradas_202207,330
DRH_Averias_Registradas_202208,330
LYT_TIPIFICACIONES_MES_202201,74
LYT_TIPIFICACIONES_MES_202202,74
LYT_TIPIFICACIONES_MES_202203,74
LYT_TIPIFICACIONES_MES_202204,74
LYT_TIPIFICACIONES_MES_202205,74
LYT_TIPIFICACIONES_MES_202206,74
LYT_TIPIFICACIONES_MES_202207,74
LYT_TIPIFICACIONES_MES_202208,74
LYT_TIPIFICACIONES_MES_202209,74
LYT_TIPIFICACIONES_MES_202210,74
LYT_TIPIFICACIONES_MES_202211,74
LYT_TIPIFICACIONES_MES_202212,74
LYT_VISOR_TIPIFICACIONES_202201_202206,78
LYT_VISOR_TIPIFICACIONES_202209,80
LYT_VISOR_TIPIFICACIONES_202210,80
LYT_VISOR_TIPIFICACIONES_202211,80
LYT_VISOR_TIPIFICACIONES_202212,80
PLANTA_FIJA_202201,66
PLANTA_FIJA_202202,66
PLANTA_FIJA_202203,67
PLANTA_FIJA_202204,67
PLANTA_MOVIL_202201,49
PLANTA_MOVIL_202202,49
PLANTA_MOVIL_202203,49
RESUMEN_REIT_TRANS_VOZ_2022,36
RESUMEN_SATELITES_202411,19
RESUMEN_SATELITES_202412,19
RESUMEN_SATELITES_202501,19
RESUMEN_SATELITES_202502,19
RESUMEN_SATELITES_202503,19
RESUMEN_SATELITES_202504,19
RESUMEN_SATELITES_202505,19
RESUMEN_SATELITES_202506,19
RESUMEN_SATELITES_202507,19
Visor_web_log_siem_202403,21
Visor_web_log_siem_202404,21
Visor_web_log_siem_202405,21
Visor_web_log_siem_202406,21
Visor_web_log_siem_202407,21
Visor_web_log_siem_202408,21
Visor_web_log_siem_202409,21
Visor_web_log_siem_202410,21
Visor_web_log_siem_202411,21
Visor_web_log_siem_202412,21
Visor_web_log_siem_202501,21
Visor_web_log_siem_202502,21
Visor_web_log_siem_202503,21
Visor_web_log_siem_202504,29
Visor_web_log_siem_202504_ant,21
PLANTA_CLIENTE_DIGITAL_202301,67
PLANTA_CLIENTE_DIGITAL_202302,67
PLANTA_CLIENTE_DIGITAL_202303,67
PLANTA_CLIENTE_DIGITAL_202304,67
PLANTA_CLIENTE_DIGITAL_202305,67
PLANTA_CLIENTE_DIGITAL_202306,67
PLANTA_CLIENTE_DIGITAL_202307,67
PLANTA_CLIENTE_DIGITAL_202308,67
PLANTA_CLIENTE_DIGITAL_202309,67
PLANTA_CLIENTE_DIGITAL_202310,67
PLANTA_CLIENTE_DIGITAL_202311,67
PLANTA_CLIENTE_DIGITAL_202312,67
STAGE.T_LISTA_TAREAS_PLANNER,18
Backup_Historial_Jobs_3meses,16
T_ADMIN_BASE_DATOS,14
T_ADMIN_BASE_DATOS_ANTERIOR,14
T_ADMIN_DISCO_DURO,7
T_ADMIN_DISCO_DURO_ANTERIOR,7
T_ADMIN_TAMANIO_TABLAS,12
T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
T_LISTA_USUARIOS_SQL,3
T_Lista_Tareas_Planner_Consolidado,18
T_WHO2_CAPTURA,14
USUARIOS,2
ECD_Encuestas_CCEE,97
ECD_TIPIFICACIONES_CCEE,8
ENCUESTAS_MEDALLIA_CHECA_TU_CASO,25
ENCUESTAS_MEDALLIA_ESPECIALIZADOS,24
USUARIOS_MULTICANAL_ULT_ACT,36
Ajustes_SAR_1_al_15_Marzo,2
Atendidas,15
Atendidas_Cobranzas,17
BASE_DEUDORA_1,3
BASE_DEUDORA_2,3
BASE_INTENTOS_QUEJA_VISOR_ART_70_2023_07,54
Base_Contactos_wifi,31
CAL_MPH_ENCUESTAS_ACUMULADO_CALL_2023_05_06,62
ENCUESTAS_IVR_OUT_202305,61
ENCUESTAS_IVR_OUT_202306,61
ENCUESTAS_IVR_OUT_FEEDBACK_GENESYS_202305,52
ENCUESTAS_IVR_OUT_FEEDBACK_GENESYS_202306,52
ENCUESTAS_IVR_OUT_FEEDBACK_GENESYS_202306_v2,52
ENCUESTAS_IVR_OUT_LN_202305,69
ENCUESTAS_LN_OUT_FEEDBACK_GENESYS_202305,38
ESCM_Planta_Pangea_202304,28
JSH_Base_planta_Fija_Velocidad_Configurada_OLTs,32
JSH_Contingencia_Art_70_Quejas_Apelaciones_reclamos_temp,29
JSH_Demanda_Call_Func_Movil,29
KAJ_ANAlisis_MSG_Abr,6
LINEAS_MOROSAS,1
LLAMADAS_ABRIL,17
LLAMADAS_ENERO,17
LLAMADAS_FEBRERO,17
LLAMADAS_FIJA_AGOSTO,11
LLAMADAS_FIJA_JULIO,11
LLAMADAS_MARZO,17
MPH_ENCUESTAS_ACUMULADO_CALL,62
TABLA_PROCESO_AUTO_1,2
behm_Aura_Catalogo_CDU,8
behm_Aura_Eficiencias,17
behm_PBI_Aura_RepAtencion_history,27
data_Plan263_lumini,5
jsh_base_dnis_estudio_cosechas_mayo,1
AY_BD_DATOSMOVILES_HLR,56
AY_CLIENTES_UNICOS,10
AY_DATA,52
AY_INC,9
AY_INDICADORES_CONSOLIDADO_HIBRIDO_DIARIO,13
AY_INDICADORES_CONSOLIDADO_HIBRIDO_DIARIO_CL_UNICOS,22
AY_SMS_DIC_V3,2
