table,columns
MENSAJERIA_MOVIL_DETALLE,8
MENSAJERIA_MOVIL_DETALLE_NOCHE,8
MENSAJERIA_MOVIL_FECHA_BORRAR,2
MENSAJERIA_MOVIL_FECHA_MAXIMA,2
MENSAJERIA_RESUMEN_VARIACION,6
mensajeria_movil_detalle_prev,8
ACCESADAS_CDR_WAPP,15
ANALISIS_CLIENTES_UNICOS_DERIVADOS_A_BOT,12
ANALISIS_DMA,15
APP_CONLOGIN,27
APP_CONLOGIN_ACUMULADO,18
CATALOGO_MOVISTAR_TOTAL,8
CDR_WAPP_UNICOS,11
CONSOLIDADO_CANALES_ASISTIDOS,6
CONSOLIDADO_CANALES_DIGITALES,6
CONTROL_UUD,7
CU_CERRADOS_PRIMERA_LLAMADA_ANT,13
CU_DERIVADOS_A_BOT,14
DBI_ECARE_TMP_WP_CONSOLIDADO_LOGIN_UUD,6
DBI_ECARE_TMP_WP_CONSOLIDADO_LOGIN_UUD_202411,6
DBI_VAL_basetrasladodemanda,5
DBI_VAL_basetrasladodemanda_Acumulado,6
DMA_CONSOLIDADA,28
DMA_CONSOLIDADA_2023,28
DMA_CONSOLIDADA_2024,28
DMA_EDUCACION,14
DMA_EDUCACION_DETALLE,7
DMA_Motivo_DMA_CU_LN,5
DMA_OPCIONES,2
FARECO_BRAINYBILL_MES,13
FARECO_PAGOS_DIGITALES,21
HPU_DATOS_ECARE,17
JM_FunnelPhoenix_CAEQ,8
KAJ_FUENTE_ACCESADAS_DMA,20
KAJ_FUENTE_ENTRANTES_DMA,25
LLAMADAS_CRUCE_CDRWAPP_MES_SGTE,13
LLAMADAS_CRUCE_DMA_MES_SGTE,21
MaestraPlanes,6
Maestra_Canales_Digitales,15
MiMovistarFija_Stage,3
MiMovistarMes,48
MiMovistarMovil_Stage,4
PE_PROD_ESL_VIEW_VW_DMA_INFO,21
PE_PROD_ESL_VIEW_VW_DMA_INFO_ACUMULADO,21
PE_PROD_ESL_VIEW_VW_DMA_INFO_ACUMULADO_2024,21
PE_PROD_ESL_VIEW_VW_SESIONES_ECARE,18
PLANTA_CLIENTE_DIGITAL_V2,69
PLANTA_MT_202501,9
RESUMEN_CU_CERRADOS,14
RESUMEN_DMA,6
RESUMEN_PROCESO_DMA,14
STAGE_PLANTA_CLIENTE_DIGITAL,69
TMP_WP_CONSOLIDADO_LOGIN_UUD_202501,6
VENTAS_CAEQ_202501,238
VENTAS_CAEQ_202502,238
VENTAS_CAEQ_202503,238
VENTAS_CAEQ_202504,238
VENTAS_CAEQ_202505,238
VENTAS_CAEQ_202506,238
VENTAS_CAEQ_202507,238
VENTAS_CAEQ_202508,238
VENTAS_CAEQ_202509,238
VENTAS_CAEQ_202510,238
VENTAS_CAEQ_202511,238
VENTAS_CARIBU_202501,138
VENTAS_CARIBU_202502,138
VENTAS_CARIBU_202503,138
VENTAS_CARIBU_202504,138
VENTAS_CARIBU_202505,138
VENTAS_CARIBU_202506,138
VENTAS_CARIBU_202507,138
VENTAS_CARIBU_202508,138
VENTAS_CARIBU_202509,138
VENTAS_CARIBU_202510,138
VENTAS_CARIBU_202511,138
YR_FunnelPhoenix_Caribu,15
sysdiagrams,5
DIM.OFERTA_BP,4
DIM.OPERATOR_STATUS,2
DIM.PLATAFORMA,7
DIM.PLATAFORMA_AGRUPADA,9
DIM.PROVEEDOR,2
DIM.TIEMPO,43
STAGE.CCEE_AGENT_30MIN,16
STAGE.CCEE_AGENT_30MIN_INTERACCIONES,9
STAGE.CCEE_AGENT_30MIN_PLATAFORMA,21
STAGE.CCEE_POTENCIALES_ABANDONO,20
STAGE.CUSTOM_ROLES,3
STAGE.EVENT_METRICS,8
STAGE.EVENT_SKILL,20
STAGE.FACT_CCEE_METRICAS,42
STAGE.FUNNEL_CCEE,10
STAGE.INTERACCIONES_ABANDONADAS,192
STAGE.INTERACCIONES_SIN_MENSAJES,192
STAGE.INTERVALOS_MEDIA_HORA,6
STAGE.LYT_INTERACCIONES_MES,192
STAGE.LYT_SESIONES_MES,162
STAGE.LYT_SESIONES_SIMULACIUON,162
STAGE.MESSAGE_METRICS,42
STAGE.NOTIFICATION_ENGINE,25
STAGE.NUMEROS_SESIONES,2
STAGE.OPERATOR_ACTIVITY_METRICS,14
STAGE.OPERATOR_METRICS,17
STAGE.POLL_AGENT,25
STAGE.POLL_BOT,15
STAGE.SESSION_METRICS,16
STAGE.SESSION_RULE_NAME,14
STAGE.TEXTO_SESIONES,3
STAGE.TYPIFICATIONS,5
STAGE.USERVAR_METRICS,6
STAGE.WORDCLOUD_CCEE,5
AMELIA_TRANS_LV_20240428,4
CCEE_AGENT_30MIN_PLATAFORMA,22
CCEE_ENCUESTAS_SESIONES_BOT,21
CCEE_TERADATA_INTENT_SESIONES,6
CONVERSION_COLAS,3
CONVERSION_PROVEEDORES,2
CRUCE_SESIONES_PLANTA,43
CUSTOM_ROLES,3
DETALLE_OPERADORES_ULT_60DIAS,5
DETALLE_OPERADORES_ULT_60DIAS_V1,5
DIAS_PROCESO,2
DIAS_PROCESO_CARGAS,4
EVENT_METRICS,8
FACT_CCEE_METRICAS,38
GMC_PRIORITY_DETALLE_ANTIGUA,12
GPR_ANALISIS_NUMEROS_SESIONES,8
GPR_CANALES_ESCRITOS_COLAS_CAPL_202507,3
GPR_CANALES_ESCRITOS_COLAS_PORTAS_202507,4
GPR_CANALES_ESCRITOS_COLAS_POR_EQUI_202507,3
GPR_Masivas_Identificadas_x_Sesiones_20250724_V1,7
GPR_TEMP_OPER_VS_INTER_2,20
JC_AGRU_PLA,2
JG_CCEE_AGENT_30MIN_PLATAFORMA_202505,4
JG_CCEE_AGENT_30MIN_PLATAFORMA_202506,4
JG_LISTADO_DNIS,1
JG_LYT_INTERACCIONES_202505,4
JG_LYT_INTERACCIONES_202506,4
JG_MESSAGE_METRICS_202505,3
JG_MESSAGE_METRICS_202506,3
KCS_FUNNEL_CCEE,7
KC_PLANTA_DNI_UNOALOCHO_202205,2
LD_TEMPORAL_OPERATOR_METRICS_1,15
LD_TEMPORAL_OPERATOR_METRICS_2,15
LD_TEMPORAL_OPERATOR_METRICS_3,12
LD_TMP_CCEE_AGENT_30MIN,16
LD_TMP_INTERACCIONES,13
LD_TMP_INTERACCIONES_SIN_PLATAFORMAS,12
MESSAGE_METRICS,40
NUMEROS_SESIONES,2
OPERATOR_ACTIVITY_METRICS,14
OPERATOR_METRICS,17
POLL_AGENT,26
POLL_BOT,15
SESSION_METRICS,16
TELEFONOS_CONVERSACIONES,3
TEMP_OPER_VS_INTER_2,20
TMP_INTENTS_PENDIENTES,4
TYPIFICATIONS,7
T_DIM_TIEMPO_INTERVALO,13
USERVAR_METRICS,6
__ELIMINAR__CCEE_AGENT_30MIN,15
__ELIMINAR__CCEE_AGENT_30MIN_INTERACCIONES,9
__ELIMINAR__CCEE_AGENT_30MIN_PLATAFORMA_AGRUPADO,22
__ELIMINAR__CCEE_BP_ENTRANTES,38
__ELIMINAR__CCEE_ENCUESTAS_INTERACCIONES_ASESOR,27
__ELIMINAR__CCEE_OM_REIT_AGRUPADO,37
__ELIMINAR__CQ_ABORDAJE_BOT_CE,5
__ELIMINAR__CQ_ABORDAJE_BOT_CE_FINAL,6
__ELIMINAR__DETALLE_INTERACCIONES_WHATSAPP_BM_20240401_20240407_v3,81
__ELIMINAR__EVENT_METRICS_1FEB_INCOMPLETO,8
__ELIMINAR__FUNNEL_CCEE,10
__ELIMINAR__GMC_SESIONES_RESUMEN,22
__ELIMINAR__GPR_Archivos_Tipificacion_customRoles,5
__ELIMINAR__JSH_CCEE_DE_CLTES_Masificacion1MB_572K_69K_404K,8
__ELIMINAR__KAJ_CCEE_DE_CLTES_Masificacion1MB_572K_69K_202109,8
__ELIMINAR__KCS_MAESTRA_TIPIS_CCEE_CALIDAD,2
__ELIMINAR__KC_SMS_APP_VOZ,6
__ELIMINAR__LYT_SESIONES_MES_prueba,161
__ELIMINAR__MAESTRA_CATEGORIA_OFERTA,2
__ELIMINAR__MAESTRA_ORIGENES_CONVERSACIONES,2
__ELIMINAR__MAESTRA_ORIGENES_CONVERSACIONES_BKP,2
__ELIMINAR__NO_RECARGADORES,1
__ELIMINAR__NO_RECARGADORES_OTROS_PRODUCTOS,1
__ELIMINAR__ORIGEN_CONVERSACIONES,2
__ELIMINAR__REPORTE_MUESTRAS_CCEE_BM,13
__ELIMINAR__Template_Transcripciones_Actual,4
__ELIMINAR__VALIDACION_COLA_OPERADORES,7
__ELIMINAR__jsh_Catalogo_Motivos_Tipificador_Visor_Ranking_OSIPTEL,3
__ELIMINAR__jsh_base_tipificaciones_Ranking_OSIPTEL_2021_v2,18
__ELIMINAR__jsh_base_tipificaciones_call_visor_v2,14
sysdiagrams,5
STAGE.ATENCION_AURA,4
STAGE.ATENCION_IVR,8
STAGE.PLANTA_CLIENTE_DIGITAL,65
STAGE.PLANTA_CLIENTE_UNICO_DIGITAL,30
APP_REVISION,6
APP_REVISION_2,4
CATALOGO_TIPO_CLIENTE,2
CICLO_VIDA_CLIENTE_202510_15,26
CICLO_VIDA_CLIENTE_202510_31,26
DISTRIBUCION_PLANTA_202510,21
PERFILAMIENTO_CLIENTE_DIGITAL,3
PLANTA_CLIENTE_DIGITAL,69
PLANTA_CLIENTE_DIGITAL_202401,69
PLANTA_CLIENTE_DIGITAL_202402,69
PLANTA_CLIENTE_DIGITAL_202403,69
PLANTA_CLIENTE_DIGITAL_202404,69
PLANTA_CLIENTE_DIGITAL_202405,69
PLANTA_CLIENTE_DIGITAL_202406,69
PLANTA_CLIENTE_DIGITAL_202407,69
PLANTA_CLIENTE_DIGITAL_202408,69
PLANTA_CLIENTE_DIGITAL_202409,69
PLANTA_CLIENTE_DIGITAL_202410,69
PLANTA_CLIENTE_DIGITAL_202411,69
PLANTA_CLIENTE_DIGITAL_202412,69
PLANTA_CLIENTE_DIGITAL_202501,69
PLANTA_CLIENTE_DIGITAL_202502,69
PLANTA_CLIENTE_DIGITAL_202503,69
PLANTA_CLIENTE_DIGITAL_202504,69
PLANTA_CLIENTE_DIGITAL_202505,69
PLANTA_CLIENTE_DIGITAL_202506,69
PLANTA_CLIENTE_DIGITAL_202507,69
PLANTA_CLIENTE_DIGITAL_202508,69
PLANTA_CLIENTE_DIGITAL_202509,69
PLANTA_CLIENTE_DIGITAL_202510,69
PLANTA_CLIENTE_DIGITAL_202511,69
PLANTA_CLIENTE_DIGITAL_CRATE,8
PLANTA_CLIENTE_DIGITAL_RESUMEN,10
PLANTA_CLIENTE_UNICO_DIGITAL_202412,30
PLANTA_CLIENTE_UNICO_DIGITAL_MES,30
Pronostico_contactos,21
TMP_HP_ACCESADAS_MASIVAS,16
TMP_HP_ENTRANTES_MASIVAS,23
VIAJE_ATENCION_CCEE_CLIENTE,44
VIAJE_ATENCION_CCEE_CLIENTE_BACKUP,44
VIAJE_ATENCION_CCEE_CLIENTE_BACKUP_V2,44
VIAJE_ATENCION_CCEE_CLIENTE_CU,8
VIAJE_ATENCION_CCEE_CLIENTE_CU_BACKUP,8
VIAJE_ATENCION_CCEE_CLIENTE_RESUMEN,33
VIAJE_ATENCION_CCEE_CLIENTE_RESUMEN_BACKUP,33
VIAJE_ATENCION_CCEE_CLIENTE_RESUMEN_V2,33
VIAJE_ATENCION_CCEE_CLIENTE_V2,42
VIAJE_ATENCION_VOZ_CLIENTE,40
VIAJE_ATENCION_VOZ_CLIENTE_CU,6
VIAJE_ATENCION_VOZ_CLIENTE_RESUMEN,29
VIAJE_ATENCION_VOZ_TIPO_ATENCION_DETALLE_1,13
VIAJE_ATENCION_VOZ_TIPO_ATENCION_DETALLE_v2,5
V_RESUMEN_CLIENTE_DIGITAL,7
V_RESUMEN_CLIENTE_DIGITAL_2021,7
V_RESUMEN_CLIENTE_DIGITAL_2021_SIN_AURA,7
V_RESUMEN_CLIENTE_DIGITAL_MES,7
V_RESUMEN_CLIENTE_DIGITAL_MES_NEGOCIO,8
V_RESUMEN_CLIENTE_DIGITAL_MES_SIN_AURA,7
V_RESUMEN_CLIENTE_DIGITAL_MES_SIN_AURA_NEGOCIO,8
V_RESUMEN_CLIENTE_DIGITAL_SIN_AURA,7
V_RESUMEN_NEGOCIO_CLIENTE_DIGITAL,8
V_RESUMEN_NEGOCIO_CLIENTE_DIGITAL_2021,8
V_RESUMEN_NEGOCIO_CLIENTE_DIGITAL_2021_SIN_AURA,8
V_RESUMEN_NEGOCIO_CLIENTE_DIGITAL_SIN_AURA,8
STAGE.ALDM_casos_motivos_tecnicos_calc,63
STAGE.LOGSIEM,20
STAGE.LOGSIEM_BACKUP,19
STAGE.LYT_AVERIAS_MASIVAS_MES,57
STAGE.REPORTE_VISOR_LOG_USUARIO,12
ALDM_casos_motivos_tecnicos,63
AVERIAS_MASIVAS_CMS_MES,69
Averias_Registradas,268
Averias_Registradas_2023,304
Averias_Registradas_2024,309
Averias_Registradas_ACUMULADO,309
BOLSA_AVERIAS,24
Catalogo_efectividad_FCR,5
DRH_AVERIAS_AMDOCS,74
DRH_usuarios_com,28
KA_Agrupacion_Motivos_Registro_Averias,4
PBI_KAJ_AVERIAS_INGRESADAS,17
PBI_KAJ_AVERIAS_LIQUIDADAS,17
TEMPORAL_AVERIAS_MASIVAS_ALDM,46
TEMPORAL_AVERIAS_MASIVAS_TERADATA,44
T_PASO_RESUMEN_DM_TERADATA,16
T_Usuarios_ALDM,9
VIEW_VISOR_LOGSIEM_CASO,60
VIEW_VISOR_LOGSIEM_CONTEXTO,44
VISOR_ADHERENCIA_DETALLE,25
VISOR_ADHERENCIA_DETALLE_USO_VISOR,25
VISOR_ADHERENCIA_RESUMEN,15
VISOR_CONTROL_FUENTES,3
VISOR_LLAVE,19
VISOR_LOGSIEM_AVERIAS_RESULTADO,37
VISOR_LOGSIEM_CONTEXTO,24
VISOR_LOGSIEM_CONTEXTO_ARBOL_GUIADO_ADMINISTRADO,4
VISOR_LOGSIEM_CONTEXTO_AVERIA,12
VISOR_LOGSIEM_CONTEXTO_BO,9
VISOR_LOGSIEM_CONTEXTO_DETALLE,24
VISOR_LOGSIEM_CONTEXTO_ESCENARIO,7
VISOR_LOGSIEM_CONTEXTO_MXA,5
VISOR_LOGSIEM_CONTEXTO_RECLAMOS,8
VISOR_LOGSIEM_CONTEXTO_SOLUCION_ASESOR,5
VISOR_LOGSIEM_CONTEXTO_TOOL,41
VISOR_LOGSIEM_CONTEXTO_TOOL_ANT,23
VISOR_LOGSIEM_PERFILES,2
VISOR_LOGSIEM_RESET,16
VISOR_MOTIVOS_COMERCIALES,2
VISOR_WEB_LOG_SIEM_ACUM,29
VISOR_WEB_LOG_SIEM_ACUM_RESUMEN,9
VISOR_WEB_LOG_SIEM_ACUM_RESUMEN_CORREO,25
VISOR_WEB_LOG_SIEM_LOGUEOS_USUARIO,19
Visor_web_log_siem,21
Visor_web_log_siem_202505,29
Visor_web_log_siem_202506,29
Visor_web_log_siem_202507,29
Visor_web_log_siem_202508,29
Visor_web_log_siem_202509,29
Visor_web_log_siem_202510,29
STAGE.EVENTOS_STAGE,5
STAGE.KCS_REITERACION_ACCESADAS_VOZ_3D,13
STAGE.LYT_CONTACT_CENTER_MES,83
STAGE.LYT_TIENDA_MES,75
STAGE.LYT_VISOR_TODAY,32
STAGE.NPS_SUB_MOTIVOS,10
STAGE.TIPIFICACION_VISOR_TODAY,32
STAGE.T_AGENT_SUMMARY_30MIN,23
AMP_CONSOLIDADO_METRICAS_AGENTE_VOZ,132
AMP_CONSOLIDADO_METRICAS_AGENTE_ccee,103
AMP_USUARIOS_RECLAMOS_HISTORICO,36
AMP_USUARIOS_RECLAMOS_ULT_ACT,36
BASE_LISTA_BLANCA,1
BASE_LISTA_CABINAS,9
BASE_LISTA_NEGRA,4
BASE_MULTICENTRO,1
CONTACT_RATE_ADHOC_INPUT,2
CONVERSION_MOTIVOS_ANTIGUOS,9
FLUJO_CONTACTABILIDAD_PRIORIDAD,4
TIENDA_MES_FUZZY,75
TMP_CLIENTES_UNICOS_DIA,7
TMP_CLIENTES_UNICOS_HORA,8
TMP_CLIENTES_UNICOS_MES,8
TMP_CLIENTES_UNICOS_SEMANA,8
TMP_HP_EVOLUCION_MT_SIN_CONTENCION,36
T_AGENT_SUMMARY_30MIN_202401,15
T_AGENT_SUMMARY_30MIN_202402,15
T_AGENT_SUMMARY_30MIN_202403,15
T_AGENT_SUMMARY_30MIN_202404,15
T_AGENT_SUMMARY_30MIN_202405,15
T_AGENT_SUMMARY_30MIN_202406,15
T_AGENT_SUMMARY_30MIN_202407,15
T_AGENT_SUMMARY_30MIN_202408,15
T_AGENT_SUMMARY_30MIN_202409,15
T_AGENT_SUMMARY_30MIN_202410,15
T_AGENT_SUMMARY_30MIN_202411,15
T_AGENT_SUMMARY_30MIN_202412,15
T_AGENT_SUMMARY_30MIN_202501,15
T_AGENT_SUMMARY_30MIN_202502,15
T_AGENT_SUMMARY_30MIN_202503,15
T_AGENT_SUMMARY_30MIN_202504,15
T_DETALLE_INFOMART_202401,81
T_DETALLE_INFOMART_202402,81
