database,table,columns
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CTI_72HR_FACTURACION,36
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CTI_DIARIO,17
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CUARTILES,20
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CUARTILES_FINAL,20
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_METRICAS_PLATAFORMA,15
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_METRICAS_REITERADAS_TRX_ODS,13
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_ORIGEN_DESTINO_PRUEBA,14
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_QUARTIL_RELL,5
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_QUARTIL_RELL_30MIN,5
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_QUARTIL_TRANS,5
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_RANGO_RELLAMADORES_EN_IVR,4
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_REITERADAS_TRXS,13
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_REITERADAS_TRXS_BU,13
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_TRANSFERENCIAS_MISMP_RP,10
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RES_ANALISIS_CLIENTES_TEC_FIJA,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RES_INDICADOR_REIT_DIARIO,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_Resumen_Reiteracion_IVR,4
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TABLA_RESUMEN_REPETICIONES,7
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE,21
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE_DIARIO,19
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE_DIA_CURSO,20
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE_TRAFICO,22
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE_TRAFICO_TRANSFERENCIAS,26
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE_TRAFICO_VENTAS,21
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_DETALLE_TRANSFERENCIAS,45
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_LD_CLIENTES_REITERADORES,4
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_TMO_REAL,3
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_TRAFICO,14
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_TMP_TRAZABILIDAD_CDR__TRANSF_MOVIL_A_FIJA,16
DICCIONARIO_PROCESOS,TEMP_FACT_HORAS_SIN_DATOS,9
DICCIONARIO_PROCESOS,T_LISTA_METRICAS,8
DICCIONARIO_PROCESOS,sysdiagrams,5
FACTURACION,CARO_OPERATIVO_BO_AGOSTO,10
FACTURACION,DETALLE_BO_CARO_202501_202506,19
FACTURACION,DETALLE_BO_YOHA_202507,10
FACTURACION,DETALLE_CASOS,5
FACTURACION,DETALLE_CROSS,6
FACTURACION,PLANILLA_RETENCIONES_COMISIONES_FUENTE_TAHEMY,7
FACTURACION,PPTO_RETENCIONES,7
FACTURACION,REAL_RETENCIONES,8
FACTURACION,REAL_RETENCIONES_JUNIO,15
FACTURACION,RETENCIONES_FUENTE_AARON,41
FACTURACION,TEMP_FACT_CCEE,17
FACTURACION,TEMP_HORAS_EXTRA,6
FACTURACION,TEMP_NV_FACT_PPTO,11
FACTURACION,T_CCEE_AGENTES_RECONTACTO,6
FACTURACION,T_CCEE_ASESORES_KIPU_RETENCIONES,2
FACTURACION,T_CCEE_MODELO_OBJETIVOS,7
FACTURACION,T_CCEE_MODELO_OBJETIVOS_20260206,7
FACTURACION,T_CCEE_OBJETIVOS_CROSS,4
FACTURACION,T_CCEE_OBJ_PESO,4
FACTURACION,T_CCEE_RELACION_PLATAFORMAS_REPORTE,2
FACTURACION,T_CCEE_RELACION_SERVICIO_SOCIO,6
FACTURACION,T_CCEE_UMBRAL_HORAS_DIARIO,3
FACTURACION,T_CCEE_base_blending_tratamiento_nds,11
FACTURACION,T_CCEE_base_horas_coach,22
FACTURACION,T_CCEE_base_reclamos,2
FACTURACION,T_CCEE_blending,7
FACTURACION,T_CCEE_dia_recontacto_global,7
FACTURACION,T_CCEE_dni_rol_master_top,4
FACTURACION,T_CCEE_dni_rol_master_top_20260210,4
FACTURACION,T_CCEE_fact_h,7
FACTURACION,T_CCEE_fdd_objetivos_NPS,8
FACTURACION,T_CCEE_fdd_objetivos_SOLUCION,8
FACTURACION,T_CCEE_fdd_objetivos_cross,8
FACTURACION,T_CCEE_fdd_objetivos_cuota,7
FACTURACION,T_CCEE_fdd_objetivos_cuota_FIJA_CAPTA,7
FACTURACION,T_CCEE_fdd_objetivos_cuota_capor,7
FACTURACION,T_CCEE_fdd_objetivos_cuota_fija,7
FACTURACION,T_CCEE_fdd_objetivos_ece,8
FACTURACION,T_CCEE_fdd_objetivos_intervenciones,7
FACTURACION,T_CCEE_fdd_objetivos_nds,8
FACTURACION,T_CCEE_horas_coach,5
FACTURACION,T_CCEE_horas_extra,6
FACTURACION,T_CCEE_log_cuartil_1ralinea,15
FACTURACION,T_CCEE_log_cuartil_2_tecnica,15
FACTURACION,T_CCEE_log_cuartil_rrss,15
FACTURACION,T_CCEE_log_cuartil_tecnica,15
FACTURACION,T_CCEE_log_cuartil_tecnica_critico,15
FACTURACION,T_CCEE_metricas_agentes_diario,9
FACTURACION,T_CCEE_metricas_agentes_diario_BACK_EXTRUCTURA,98
FACTURACION,T_CCEE_metricas_agentes_mensual,102
FACTURACION,T_CCEE_metricas_agentes_mensual_NUEVO,18
FACTURACION,T_CCEE_metricas_agentes_mensual_NUEVO_BACK_EXTRUCTURA,103
FACTURACION,T_CCEE_nivel_facturacion,15
FACTURACION,T_CCEE_nivel_facturacion_NUEVO,15
FACTURACION,T_CCEE_resumen_diario,11
FACTURACION,T_CCEE_resumen_productividad_proveedor,14
FACTURACION,T_CCEE_seguimiento_cross_ccee_resumen,31
FACTURACION,T_CCEE_t_dim_categoria_plataforma,4
FACTURACION,T_CCEE_t_dim_plataforma,6
FACTURACION,T_CCEE_t_dim_proveedor,3
FACTURACION,T_CCEE_t_dim_tiempo_intervalo,13
FACTURACION,T_CCEE_t_fact_metricas_intervalo,13
FACTURACION,T_CCEE_tmp_dia1ralinea,7
FACTURACION,T_CCEE_tmp_dia_2_tecnica,7
FACTURACION,T_CCEE_tmp_dia_rrss,7
FACTURACION,T_CCEE_tmp_dia_tecnica,7
FACTURACION,T_CCEE_tmp_dia_tecnica_critico,7
FACTURACION,T_CCEE_tmp_fact,17
FACTURACION,T_CCEE_tmp_horas_coach,8
FACTURACION,T_CCEE_tmp_mes1ralinea,11
FACTURACION,T_CCEE_tmp_mes_2_tecnica,11
FACTURACION,T_CCEE_tmp_mes_rrss,11
FACTURACION,T_CCEE_tmp_mes_tecnica,11
FACTURACION,T_CCEE_tmp_mes_tecnica_critico,11
FACTURACION,T_CCEE_vista_facturacion,57
FACTURACION,T_CONTINGENCIA_ASESORES_NDS,2
FACTURACION,T_CONTINGENCIA_FACTURACION_INTERVALO,10
FACTURACION,T_CONTINGENCIA_INPUT_COP,11
FACTURACION,T_CONTINGENCIA_INPUT_COR,11
FACTURACION,T_CONTINGENCIA_INPUT_SATISFACCION,12
FACTURACION,T_DICCIONARIO_CUBO_FACTURACION_MES,5
FACTURACION,T_DIM_FACTURACION_AGRUPACION_TIPO_PAGO,2
FACTURACION,T_DIM_FACTURACION_CANAL,3
FACTURACION,T_DIM_FACTURACION_ESTADO,3
FACTURACION,T_DIM_FACTURACION_JERARQUIA_EMPRESA,6
FACTURACION,T_DIM_FACTURACION_PLATAFORMA,6
FACTURACION,T_DIM_FACTURACION_PLATAFORMA_20251028,6
FACTURACION,T_DIM_FACTURACION_PROVEEDOR,3
FACTURACION,T_DIM_FACTURACION_TIEMPO_MES,13
FACTURACION,T_DIM_FACTURACION_TIPO_PAGO,2
FACTURACION,T_DIM_GE_AGRUPACION_PLATAFORMA,4
FACTURACION,T_DIM_GE_AGRUPACION_PLATAFORMA_20251028,4
FACTURACION,T_DIM_GE_CANAL,3
FACTURACION,T_DIM_GE_CATEGORIA,3
FACTURACION,T_DIM_GE_COMENTARIOS,4
FACTURACION,T_DIM_GE_GESTION,3
FACTURACION,T_DIM_GE_PLATAFORMA,8
FACTURACION,T_DIM_GE_PLATAFORMA_20251104,8
FACTURACION,T_DIM_GE_PROVEEDOR,3
FACTURACION,T_DIM_GE_TIEMPO_MES,13
FACTURACION,T_DIM_GE_TIPO_PAGO,3
FACTURACION,T_EVOLUTIVO_PAGO_DIARIO_FINAL,29
FACTURACION,T_EVOLUTIVO_PAGO_DIARIO_FINAL_V2,26
FACTURACION,T_EVOLUTIVO_PAGO_DIARIO_PASO_1,22
FACTURACION,T_EVOLUTIVO_PAGO_DIARIO_PASO_2,8
FACTURACION,T_FACT_FACTURACION_DIA,77
FACTURACION,T_FACT_FACTURACION_INTERVALO,71
FACTURACION,T_FACT_FACTURACION_INTERVALO_RETENCIONES,67
FACTURACION,T_FACT_FACTURACION_MES,132
FACTURACION,T_FACT_GESTION_ECONOMICA_DIARIO,53
FACTURACION,T_FACT_GESTION_ECONOMICA_MES,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251011,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251016,172
FACTURACION,T_FACT_GESTION_ECONOMICA_MES_20251020,172
