table,columns
T_CCEE_fdd_objetivos_SOLUCION,8
T_CCEE_fdd_objetivos_cross,8
T_CCEE_fdd_objetivos_cuota,7
T_CCEE_fdd_objetivos_cuota_FIJA_CAPTA,7
T_CCEE_fdd_objetivos_cuota_capor,7
T_CCEE_fdd_objetivos_cuota_fija,7
T_CCEE_fdd_objetivos_ece,8
T_CCEE_fdd_objetivos_intervenciones,7
T_CCEE_fdd_objetivos_nds,8
T_CCEE_horas_coach,5
T_CCEE_horas_extra,7
T_CCEE_log_cuartil_1ralinea,16
T_CCEE_log_cuartil_2_tecnica,16
T_CCEE_log_cuartil_rrss,16
T_CCEE_log_cuartil_tecnica,16
T_CCEE_log_cuartil_tecnica_critico,16
T_CCEE_metricas_agentes_diario,9
T_CCEE_metricas_agentes_diario_BACK_EXTRUCTURA,98
T_CCEE_metricas_agentes_mensual,102
T_CCEE_metricas_agentes_mensual_NUEVO,18
T_CCEE_metricas_agentes_mensual_NUEVO_BACK_EXTRUCTURA,103
T_CCEE_nivel_facturacion,17
T_CCEE_nivel_facturacion_NUEVO,17
T_CCEE_resumen_diario,11
T_CCEE_resumen_productividad_proveedor,14
T_CCEE_seguimiento_cross_ccee_resumen,31
T_CCEE_t_dim_categoria_plataforma,4
T_CCEE_t_dim_plataforma,6
T_CCEE_t_dim_proveedor,3
T_CCEE_t_dim_tiempo_intervalo,13
T_CCEE_t_fact_metricas_intervalo,13
T_CCEE_tmp_dia1ralinea,7
T_CCEE_tmp_dia_2_tecnica,7
T_CCEE_tmp_dia_rrss,7
T_CCEE_tmp_dia_tecnica,7
T_CCEE_tmp_dia_tecnica_critico,7
T_CCEE_tmp_fact,18
T_CCEE_tmp_horas_coach,8
T_CCEE_tmp_mes1ralinea,12
T_CCEE_tmp_mes_2_tecnica,12
T_CCEE_tmp_mes_rrss,12
T_CCEE_tmp_mes_tecnica,12
T_CCEE_tmp_mes_tecnica_critico,12
T_CCEE_vista_facturacion,60
T_CONTINGENCIA_ASESORES_NDS,2
T_CONTINGENCIA_FACTURACION_INTERVALO,10
T_CONTINGENCIA_INPUT_COP,11
T_CONTINGENCIA_INPUT_COR,11
T_CONTINGENCIA_INPUT_SATISFACCION,12
T_DICCIONARIO_CUBO_FACTURACION_MES,5
T_DIM_FACTURACION_AGRUPACION_TIPO_PAGO,2
T_DIM_FACTURACION_CANAL,3
T_DIM_FACTURACION_ESTADO,3
T_DIM_FACTURACION_JERARQUIA_EMPRESA,6
T_DIM_FACTURACION_PLATAFORMA,6
T_DIM_FACTURACION_PLATAFORMA_20251028,6
T_DIM_FACTURACION_PROVEEDOR,3
T_DIM_FACTURACION_TIEMPO_MES,13
T_DIM_FACTURACION_TIPO_PAGO,2
T_DIM_GE_AGRUPACION_PLATAFORMA,4
T_DIM_GE_AGRUPACION_PLATAFORMA_20251028,4
T_DIM_GE_CANAL,3
T_DIM_GE_CATEGORIA,3
T_DIM_GE_COMENTARIOS,4
T_DIM_GE_GESTION,3
T_DIM_GE_PLATAFORMA,8
T_DIM_GE_PLATAFORMA_20251104,8
T_DIM_GE_PROVEEDOR,3
T_DIM_GE_TIEMPO_MES,13
T_DIM_GE_TIPO_PAGO,3
T_EVOLUTIVO_PAGO_DIARIO_FINAL,29
T_EVOLUTIVO_PAGO_DIARIO_FINAL_V2,26
T_EVOLUTIVO_PAGO_DIARIO_PASO_1,22
T_EVOLUTIVO_PAGO_DIARIO_PASO_2,8
T_FACT_FACTURACION_DIA,77
T_FACT_FACTURACION_INTERVALO,71
T_FACT_FACTURACION_INTERVALO_RETENCIONES,67
T_FACT_FACTURACION_MES,132
T_FACT_GESTION_ECONOMICA_DIARIO,53
T_FACT_GESTION_ECONOMICA_MES,172
T_FACT_GESTION_ECONOMICA_MES_20251011,172
T_FACT_GESTION_ECONOMICA_MES_20251016,172
T_FACT_GESTION_ECONOMICA_MES_20251020,172
T_FACT_GESTION_ECONOMICA_MES_20251021,172
T_FACT_GESTION_ECONOMICA_MES_20251023,172
T_FACT_GESTION_ECONOMICA_MES_20251107,172
T_FACT_GESTION_ECONOMICA_MES_20251117,172
T_FACT_GESTION_ECONOMICA_MES_20251121,172
T_FACT_GESTION_ECONOMICA_MES_20251126,172
T_FACT_GESTION_ECONOMICA_MES_20251127,172
T_FACT_GESTION_ECONOMICA_MES_20251201,172
T_FACT_GESTION_ECONOMICA_MES_20251211,172
T_FACT_GESTION_ECONOMICA_MES_20251217,172
T_FACT_GESTION_ECONOMICA_MES_20251230,172
T_FACT_GESTION_ECONOMICA_MES_20260102,172
T_FACT_GESTION_ECONOMICA_MES_20260105,172
T_FACT_GESTION_ECONOMICA_MES_20260109,172
T_FACT_GESTION_ECONOMICA_MES_20260212,172
T_FACT_GESTION_ECONOMICA_MES_20260226,172
T_FACT_GE_PPTO,12
T_FACT_GE_PPTO_20251007,12
T_FACT_LISTA_METRICAS_CU,2
T_FACT_LISTA_METRICAS_IMPACTOS,2
T_FACT_PPTO_V2,5
T_GE_DEMANDA,5
T_INPUT_ADICIONAL_FACTURACION,9
T_INPUT_CALIDAD,11
T_INPUT_CUMPLE_CUOTA,8
T_INPUT_EFECTIVIDAD_VENTAS,8
T_INPUT_ERROR_ENVIO_CAMPO,8
T_INPUT_ERROR_TRANSFERENCIA_RECLAMOS,8
T_INPUT_FACTOR_DESEMPENIO,8
T_INPUT_FDS,16
T_INPUT_FDS_ALBATROS,17
T_INPUT_HORARIO,24
T_INPUT_LINEA_FINAL_FACTURACION_BO_OTROS_KIPU,15
T_INPUT_LINEA_FINAL_FACTURACION_CCEE_KIPU,60
T_INPUT_LINEA_FINAL_FACTURACION_VOZ_KIPU_ALBATROS,98
T_INPUT_PARAMETROS,46
T_INPUT_PARAMETROS_VOZ_CIRCULAR,6
T_INPUT_PARAMETROS_VOZ_FDD,12
T_INPUT_RANGO_DESVIACION,3
T_INPUT_RESUMEN_ENCUESTAS,7
T_INPUT_SATISFACCION,12
T_INPUT_SATISFACCION_NPS_SOL_2022,14
T_INPUT_TARIFAS,7
T_INPUT_TIPO_CAMBIO_HISPAM,6
T_INPUT_TOPE_NPS_1_2,8
T_INPUT_TRANSFERENCIAS_MISMO_POOL,6
T_INPUT_TRX_CROSS,8
T_INPUT_TRX_RELL,11
T_INPUT_USO_GENIO,8
T_INPUT_USUARIOS_COR,14
T_LOG_PROCESO_FACTURACION,4
T_PAGO_PREGUNTA_RESPUESTA_MES,8
T_PESOS_TIPO_ENCUESTA_MES,6
T_REPORTE_RESUMEN_KIPU_DIA,5
T_REPORTE_RESUMEN_METRICAS_CALIDAD,14
T_RESUMEN_CUBO_ESTRATEGIA_MES_ESTRATEGIA_VOZ,13
T_RESUMEN_CUBO_ESTRATEGIA_MES_REAL_VOZ,16
T_RESUMEN_DIARIO_FACTURACION_PRELIMINAR_CCEE,22
T_RESUMEN_KPIS_CALIDAD,6
T_RESUMEN_MAXIMO_DIA_MES,5
T_RESUMEN_MES_FACTURACION_PRELIMINAR_CCEE,54
T_RESUMEN_MES_FACTURACION_PRELIMINAR_VOZ_ALBATROS,95
T_TEMP_CASOS_BOTMAKER,9
T_TEMP_CASOS_BOTMAKER_DIARIO,9
T_TEMP_DATOS_BO,7
T_TEMP_DETALLE_CALIDAD,7
T_TEMP_FACTURACION_DIA,79
T_TEMP_FACTURACION_INTERVALO,73
T_TEMP_FACTURACION_INTERVALO_RETENCIONES,69
T_TEMP_FACTURACION_MES,120
T_TEMP_FACTURACION_MES2,106
T_TEMP_FACTURACION_NUEVO_COR,7
T_TEMP_HORAS_BOTMAKER_DIARIO,6
T_TEMP_HORAS_BOTMAKER_RES,6
T_TEMP_INPUT_CALIDAD,12
T_TEMP_INPUT_COR,16
T_TEMP_INPUT_COR_PASO1,8
T_TEMP_INPUT_HORARIO,22
T_TEMP_INPUT_INTERVALOS_CONTIGENCIA,15
T_TEMP_INPUT_LINEA_FINAL_FACTURACION_CCEE_PASO1,5
T_TEMP_INPUT_LINEA_FINAL_FACTURACION_CCEE_PASO2,15
